observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
re_m_sn_5_2023-11-24_0001,re_m_sn_5,re_m_sn_5_2023-11-24_0001.JPG,re_m_sn_5_time_lapse_209,2023-11-23T23:00:00Z,2023-11-23T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993801116943,,
re_m_sn_5_2023-11-24_0002,re_m_sn_5,re_m_sn_5_2023-11-24_0002.JPG,re_m_sn_5_time_lapse_210,2023-11-24T11:00:00Z,2023-11-24T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993920326233,,
re_m_sn_5_2023-11-25_0001,re_m_sn_5,re_m_sn_5_2023-11-25_0001.JPG,re_m_sn_5_time_lapse_211,2023-11-24T23:00:00Z,2023-11-24T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995470046997,,
re_m_sn_5_2023-11-25_0002,re_m_sn_5,re_m_sn_5_2023-11-25_0002.JPG,re_m_sn_5_motion_sensor_81,2023-11-25T10:26:47Z,2023-11-25T10:26:48Z,media,animal,,Cricetidae,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999963641166687,,
re_m_sn_5_2023-11-25_0003,re_m_sn_5,re_m_sn_5_2023-11-25_0003.JPG,re_m_sn_5_motion_sensor_81,2023-11-25T10:26:47Z,2023-11-25T10:26:48Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.971183955669403,,
re_m_sn_5_2023-11-25_0004,re_m_sn_5,re_m_sn_5_2023-11-25_0004.JPG,re_m_sn_5_time_lapse_212,2023-11-25T11:00:00Z,2023-11-25T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993681907654,,
re_m_sn_5_2023-11-26_0001,re_m_sn_5,re_m_sn_5_2023-11-26_0001.JPG,re_m_sn_5_time_lapse_213,2023-11-25T23:00:00Z,2023-11-25T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995589256287,,
re_m_sn_5_2023-11-26_0002,re_m_sn_5,re_m_sn_5_2023-11-26_0002.JPG,re_m_sn_5_motion_sensor_82,2023-11-26T05:52:01Z,2023-11-26T05:52:02Z,media,animal,,Sorex spp.,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.998519480228424,,
re_m_sn_5_2023-11-26_0003,re_m_sn_5,re_m_sn_5_2023-11-26_0003.JPG,re_m_sn_5_motion_sensor_82,2023-11-26T05:52:01Z,2023-11-26T05:52:02Z,media,animal,,Sorex spp.,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,1,,
re_m_sn_5_2023-11-26_0004,re_m_sn_5,re_m_sn_5_2023-11-26_0004.JPG,re_m_sn_5_time_lapse_214,2023-11-26T11:00:00Z,2023-11-26T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993443489075,,
