occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format,serviceExpectation
re_l_he_2_2024-06-26_0017_1,re_l_he_2_2024-06-26_0017.JPG,StillImage,,CC-BY4.0,2024-06-26T18:32:52Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-26_0017.JPG,image/jpeg,authenticate
re_l_he_2_2024-06-28_0008_1,re_l_he_2_2024-06-28_0008.JPG,StillImage,,CC-BY4.0,2024-06-28T04:08:57Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-28_0008.JPG,image/jpeg,authenticate
re_l_he_2_2024-06-29_0018_1,re_l_he_2_2024-06-29_0018.JPG,StillImage,,CC-BY4.0,2024-06-29T19:45:11Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-29_0018.JPG,image/jpeg,authenticate
re_l_he_2_2024-07-03_0015_1,re_l_he_2_2024-07-03_0015.JPG,StillImage,,CC-BY4.0,2024-07-03T13:20:00Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-07-03_0015.JPG,image/jpeg,authenticate
re_l_he_2_2024-07-08_0006_1,re_l_he_2_2024-07-08_0006.JPG,StillImage,,CC-BY4.0,2024-07-08T11:38:08Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-07-08_0006.JPG,image/jpeg,authenticate
re_l_he_2_2024-07-09_0019_1,re_l_he_2_2024-07-09_0019.JPG,StillImage,,CC-BY4.0,2024-07-09T15:51:32Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-07-09_0019.JPG,image/jpeg,authenticate
re_l_he_2_2024-07-14_0024_1,re_l_he_2_2024-07-14_0024.JPG,StillImage,,CC-BY4.0,2024-07-14T17:22:43Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-07-14_0024.JPG,image/jpeg,authenticate
re_l_he_2_2024-07-25_0011_1,re_l_he_2_2024-07-25_0011.JPG,StillImage,,CC-BY4.0,2024-07-25T08:55:20Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-07-25_0011.JPG,image/jpeg,authenticate
re_l_he_2_2024-08-11_0001_1,re_l_he_2_2024-08-11_0001.JPG,StillImage,,CC-BY4.0,2024-08-10T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-08-11_0001.JPG,image/jpeg,authenticate
re_l_he_2_2024-08-14_0001_1,re_l_he_2_2024-08-14_0001.JPG,StillImage,,CC-BY4.0,2024-08-13T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-08-14_0001.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-12_0026_1,re_l_he_3_2023-08-12_0026.JPG,StillImage,,CC-BY4.0,2023-08-12T08:47:38Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-12_0026.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-12_0103_1,re_l_he_3_2023-08-12_0103.JPG,StillImage,,CC-BY4.0,2023-08-12T20:12:20Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-12_0103.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-13_0020_1,re_l_he_3_2023-08-13_0020.JPG,StillImage,,CC-BY4.0,2023-08-13T01:51:39Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-13_0020.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-24_0003_1,re_l_he_3_2023-08-24_0003.JPG,StillImage,,CC-BY4.0,2023-08-24T05:02:48Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-24_0003.JPG,image/jpeg,authenticate
